Standard,Antithetic
3.1440597353742405,3.225332739105106
3.1917107396418887,3.2150176817219696
3.155291758326984,3.2230232916082944
3.231111655610804,3.2369662211165395
3.1661983047340585,3.1836478185723873
3.152626373528948,3.2243739029780696
3.2317226810516253,3.2245063159557694
3.27536558107717,3.2030813888479397
3.192421720925445,3.1704503986907744
3.238110969170748,3.239585438798283
3.171121913951269,3.181962613474147
3.1630830732477397,3.183371901376128
3.1674244172407278,3.207186285118694
3.1775847707289797,3.180093267461398
3.2345519021650073,3.1932399238823033
3.1284594946123887,3.1787131379673865
3.196964364534727,3.2001236676480302
3.210461799737478,3.209442158753861
3.198759601437571,3.186372925581134
3.249983224636199,3.2023791048921795
