BinCenter,StandardFreq,AntitheticFreq
3.1358047989356277,1,0
3.150495407582106,3,0
3.165186016228584,4,1
3.179876624875062,1,6
3.19456723352154,4,2
3.2092578421680185,1,5
3.2239484508144964,1,4
3.2386390594609744,3,2
3.253329668107453,1,0
3.268020276753931,1,0
