Time,Low_0,High_0,Low_1,High_1,Low_2,High_2,Low_3,High_3,Low_4,High_4
0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
0.003937007874015748,39.76952423400172,41.76320195188726,40.05301230130009,39.36760393642406,40.04009730797997,39.16947640841572,39.7505336620846,40.47974933518527,40.25891077799,38.715596727577136
0.007874015748031496,40.36840310181686,41.62880134560003,40.06766110350459,40.71132649603733,40.185892314520544,38.23872996342446,39.79039378907303,39.24036315572801,40.097674343921796,37.823422601545374
0.011811023622047244,39.92628733715955,42.235102528382335,39.90915440798315,41.44885830168477,39.8538972595158,37.949330480689795,40.234650685110154,39.67944636480673,40.08765708229287,38.666148705562144
0.015748031496062992,39.858490506291425,43.43920262261248,40.150664186356686,41.30827738572499,39.59221451886206,36.597220358692795,40.06006078811058,39.187254965675805,40.12371850947799,38.4255455677073
0.01968503937007874,40.13461066573886,43.28328302026266,40.29602135021061,41.20606435567638,39.67260933998793,37.256843670789905,40.098622410716004,39.98916840533065,40.243437416030254,38.34022165054757
0.023622047244094488,40.20435353407084,44.04955765673838,40.054640933692404,41.45671501301209,39.70282271767656,37.31214426924398,39.847425357525964,40.57672329011431,40.28292419904303,38.40178895826949
0.027559055118110236,40.102097280094235,45.49227230050264,40.71177490354782,40.54089285715889,39.711641560991204,37.028246113269255,39.5151559382825,40.51536379955684,40.26804044099262,38.68465152382908
0.031496062992125984,40.25172572594917,46.41859368972517,41.15846694725846,40.54452999871227,39.583527343432166,36.21965233068741,39.14147710271842,41.0699562025586,40.49345014726273,39.161053876058205
0.03543307086614173,39.92205580921538,45.026577989267544,41.06527423040604,40.561265475202426,39.538243244009124,35.33331570871704,39.142867478433196,40.66116480026568,40.68768278513385,38.624963461145384
0.03937007874015748,39.76967084521813,45.61943784306833,41.01414430350457,40.65476264874866,39.5533824684594,34.6374667786617,39.198102057554074,41.241704718092876,40.73188031892192,37.77448797096951
0.04330708661417323,39.897259286485784,45.877221256453716,41.250679474280496,40.154853309136506,39.66951303848012,34.45514505081006,39.32818055327327,41.5874187167556,40.34674775689838,38.10131670363886
0.047244094488188976,39.928682270513974,46.86104294822467,41.394278818874206,40.122013742967226,39.869694318433666,34.637052721123936,39.17591150582564,41.32150544875898,40.198968140539684,38.22808763901581
0.051181102362204724,39.803713997040646,47.20623979513342,41.55315838534229,40.07909577986193,40.147170950311626,33.673384039537154,39.094261417695954,41.55588203583928,40.446975802725554,38.46476141199714
0.05511811023622047,39.85335807181133,46.724876400802245,41.54038505337025,39.29054110939774,40.11288921374016,34.46887276537156,39.29587432746015,41.89586938252296,40.548711994266256,38.34471232917588
0.05905511811023622,40.44128436315451,45.913568722796484,41.337880160502074,38.8025969409186,40.26224154019825,35.18945794511494,39.18395726020653,42.00613346808595,40.346700309420726,38.03165515641313
0.06299212598425197,40.45763293283578,46.30234772538165,41.39303593193455,38.32522679633936,41.01847475464138,36.03454184752607,39.15719490479093,42.9173727173785,40.07964827989147,37.77127430865882
0.06692913385826771,40.54605157408576,45.86760901164347,40.87375994820105,36.769351709595064,41.01418638689978,35.214099454840635,39.17963168414219,42.035892318130074,40.298411303717145,37.86921862428825
0.07086614173228346,40.81290501796834,45.65455443346884,40.763922514658915,36.01076236543166,40.99480326971425,35.075426002952256,39.00980252892692,42.388966873470046,40.03221398054737,38.200662808518665
0.07480314960629922,40.9115454721247,44.31566442195232,40.457428955151876,35.95532197136515,40.90751879027324,34.33087330312613,38.78464435266772,43.008579694883856,40.1891987066689,38.68859496465459
