Time,Low_0,Low_1,Low_2,Low_3,Low_4,High_0,High_1,High_2,High_3,High_4
0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
0.003937007874015748,40.14356410931575,39.98419574242998,40.18145601105637,40.401151207716055,39.960129280090136,40.70364650816818,40.40110488788943,39.33351965257496,39.82036531923951,40.78006283184696
0.007874015748031496,40.10355442465632,40.39928381088739,40.39392569407625,40.30122690536069,40.115045328050215,40.81336190307482,41.89006177372812,39.59477996953878,39.95913926331675,40.601589618730564
0.011811023622047244,40.005890227709635,40.30031334523472,40.47433575174409,39.836451111159896,39.69982828825693,40.918138632769576,41.809663805437445,40.05329201326958,40.577692813609765,40.12018061862225
0.015748031496062992,39.88364563719182,40.06324164529081,40.57326328815149,39.62830530238694,39.36678084634239,40.0830073952475,40.62515413342699,40.391381595640006,39.8945509774853,38.78423270349785
0.01968503937007874,40.26927020633638,40.02541370981188,40.60962304179477,39.292763554422585,39.25091181048837,40.346266113372344,42.23304152629887,40.4066176378879,40.4381277406341,38.852339700890234
0.023622047244094488,40.31632207696852,39.75526077614929,40.724539339699405,39.16324276357941,39.19761659188363,40.302741318821326,42.86186777164443,40.2417214536953,40.62684692003881,39.06675487901559
0.027559055118110236,40.18315717953853,40.236087454140346,40.74033035413971,38.92183161848065,39.41843819727568,39.899412042432736,43.54911535484734,40.150290373999646,40.16441280012968,39.41399372681612
0.031496062992125984,39.8943281435667,40.30782709830702,40.25863204677187,38.61585388531097,39.48575141639233,39.35593086634155,43.588941095506534,40.16351574957579,40.86754016242173,39.72610309227933
0.03543307086614173,40.09802827867676,40.37021156960322,40.24843852424036,38.561140948145514,39.13809394091495,39.35907375939769,44.16868474528124,41.05835028023568,41.244439981536544,39.75132266181332
0.03937007874015748,39.93586129335847,40.272601897895086,40.53442041206406,38.662498669988096,38.72362712843039,38.5677383063276,43.451590564367756,40.88116566423659,40.869585422247106,39.653515931991166
0.04330708661417323,40.035937551568985,40.194320812603486,40.381405186473465,38.82915102476884,38.992427468814384,38.62023185413497,43.83315683043596,40.85527027706141,41.20078837220029,39.7123542983924
0.047244094488188976,40.28879701096751,40.00165825401111,40.32213618431307,38.92820312416388,39.249526202503304,37.44171585315405,43.207993216483814,40.78223031213074,40.43843746312919,40.10483785198555
0.051181102362204724,40.18669852642088,39.973957622413415,40.061279298633416,38.654412236471586,39.468172807518734,38.35845392600291,44.0544559906208,40.66495251532109,41.40315947907586,40.217311766322965
0.05511811023622047,40.54766540826737,39.97478145596893,40.332460763167916,38.76038513123695,39.327058286459135,38.17374942445643,43.65137377138617,40.49122297029826,41.17061225734191,40.343821640447956
0.05905511811023622,40.65876757870027,40.37944379679682,40.34244903184766,39.15922516830757,38.699189932381195,38.28793733416652,43.674082177250504,40.78787890779226,41.95900432144913,40.96380621954883
0.06299212598425197,40.88765675811931,40.42057522001988,40.28582041547887,39.200271839311476,38.23485090675182,37.41419682876735,41.94505255560806,41.40494046497318,41.07916770486027,40.838730694291826
0.06692913385826771,40.8506165044347,40.53024289000723,40.678428816076774,39.091315639202385,38.05895150954212,36.74514065936953,40.77922605142684,41.776178786194905,41.58776266712124,40.48870483320057
0.07086614173228346,40.74130586130242,40.78218636464338,40.78155712950276,38.97984400817453,38.199501971029925,35.2690269122329,40.44907069621763,42.0526716426354,40.64262460526402,40.6242892415473
0.07480314960629922,40.78537001437059,41.04932029559898,40.6211782750541,38.918119650678726,38.123566540033224,35.277219364090875,40.83574101102047,42.15142081339254,40.04145910355965,41.40599539662273
