0.000000000000000000e+00 0.000000000000000000e+00
3.003003003003002977e-02 3.002551789354557937e-02
6.006006006006005954e-02 6.002395657794962203e-02
9.009009009009008584e-02 8.996823848222543218e-02
1.201201201201201191e-01 1.198315453874071873e-01
1.501501501501501523e-01 1.495899383737916977e-01
1.801801801801801717e-01 1.792161338307637908e-01
2.102102102102102188e-01 2.086817743782336809e-01
2.402402402402402382e-01 2.379587852688201388e-01
2.702702702702702853e-01 2.670193743878507275e-01
3.003003003003003046e-01 2.958360322533615250e-01
3.303303303303303240e-01 3.243815320160972626e-01
3.603603603603603434e-01 3.526289294595115198e-01
3.903903903903903627e-01 3.805515629997662241e-01
4.204204204204204376e-01 4.081230536857323732e-01
4.504504504504504570e-01 4.353173051989892572e-01
4.804804804804804763e-01 4.621085038538250145e-01
5.105105105105105512e-01 4.884711185972364089e-01
5.405405405405405705e-01 5.143799010089287194e-01
5.705705705705705899e-01 5.398098853013162390e-01
6.006006006006006093e-01 5.647363883195215539e-01
6.306306306306306286e-01 5.891350095413759869e-01
6.606606606606606480e-01 6.129816310774197641e-01
6.906906906906906674e-01 6.362524176709014601e-01
7.207207207207206867e-01 6.589238166977785527e-01
7.507507507507507061e-01 6.809725581667168681e-01
7.807807807807807254e-01 7.023763047323662301e-01
8.108108108108108558e-01 7.231224867232608489e-01
8.408408408408408752e-01 7.431895430347863485e-01
8.708708708708708945e-01 7.625526152206292263e-01
9.009009009009009139e-01 7.811879763572241453e-01
9.309309309309309333e-01 7.990730310437542672e-01
9.609609609609609526e-01 8.161863154021511413e-01
9.909909909909909720e-01 8.325074970770947047e-01
1.021021021021021102e+00 8.480173752360133932e-01
1.051051051051051122e+00 8.626978805690838081e-01
1.081081081081081141e+00 8.765320752892310496e-01
1.111111111111111160e+00 8.895041531321289385e-01
1.141141141141141180e+00 9.015994393561990172e-01
1.171171171171171199e+00 9.128043907426119929e-01
1.201201201201201219e+00 9.231065955952862945e-01
1.231231231231231238e+00 9.324947737408892934e-01
1.261261261261261257e+00 9.409587765288364158e-01
1.291291291291291277e+00 9.484895868312914757e-01
1.321321321321321296e+00 9.550793190431670077e-01
1.351351351351351315e+00 9.607212190821234898e-01
1.381381381381381335e+00 9.654096643885703433e-01
1.411411411411411354e+00 9.691401639256649325e-01
1.441441441441441373e+00 9.719093581793130099e-01
1.471471471471471393e+00 9.737150191581691594e-01
1.501501501501501412e+00 9.745560503936359087e-01
1.531531531531531432e+00 9.744324869398646172e-01
1.561561561561561451e+00 9.733454953737545878e-01
1.591591591591591470e+00 9.712973737949537334e-01
1.621621621621621712e+00 9.682915518258581322e-01
1.651651651651651731e+00 9.643325906116130275e-01
1.681681681681681750e+00 9.594261828201111619e-01
1.711711711711711770e+00 9.535770856979696175e-01
1.741741741741741789e+00 9.467900260640750298e-01
1.771771771771771808e+00 9.390724732843654943e-01
1.801801801801801828e+00 9.304327498523877749e-01
1.831831831831831847e+00 9.208800297221491071e-01
1.861861861861861867e+00 9.104243383081166430e-01
1.891891891891891886e+00 8.990765524852175616e-01
1.921921921921921905e+00 8.868484005888394028e-01
1.951951951951951925e+00 8.737524624148298447e-01
1.981981981981981944e+00 8.598021692194967036e-01
2.012012012012012185e+00 8.450118037196077125e-01
2.042042042042042205e+00 8.293965000923912978e-01
2.072072072072072224e+00 8.129722439755354690e-01
2.102102102102102243e+00 7.957558724671885964e-01
2.132132132132132263e+00 7.777650741259594103e-01
2.162162162162162282e+00 7.590183889709164466e-01
2.192192192192192302e+00 7.395352084815884908e-01
2.222222222222222321e+00 7.193357755979647994e-01
2.252252252252252340e+00 6.984411847204942125e-01
2.282282282282282360e+00 6.768733817100862638e-01
2.312312312312312379e+00 6.546551638881101809e-01
2.342342342342342398e+00 6.318101800363956633e-01
2.372372372372372418e+00 6.083629303972326596e-01
2.402402402402402437e+00 5.843387666733708130e-01
2.432432432432432456e+00 5.597638920280203489e-01
2.462462462462462476e+00 5.346653610848512983e-01
2.492492492492492495e+00 5.090710799279940524e-01
2.522522522522522515e+00 4.830098061020391964e-01
2.552552552552552534e+00 4.565111486120374540e-01
2.582582582582582553e+00 4.296055679234994651e-01
2.612612612612612573e+00 4.023203982816760393e-01
2.642642642642642592e+00 3.746646947092484026e-01
2.672672672672672611e+00 3.466628565260962969e-01
2.702702702702702631e+00 3.183421586735259989e-01
2.732732732732732650e+00 2.897298502456422398e-01
2.762762762762762669e+00 2.608531544893482046e-01
2.792792792792792689e+00 2.317392688043457827e-01
2.822822822822822708e+00 2.024153647431349012e-01
2.852852852852852727e+00 1.729085880110143025e-01
2.882882882882882747e+00 1.432460584660809055e-01
2.912912912912912766e+00 1.134548701192302778e-01
2.942942942942942786e+00 8.356209113415635770e-02
2.972972972972972805e+00 5.359476382735162137e-02
3.003003003003002824e+00 2.357990466810683250e-02
3.033033033033032844e+00 -6.455495721488679894e-03
3.063063063063062863e+00 -3.648447256654702153e-02
3.093093093093092882e+00 -6.648008693938201041e-02
3.123123123123122902e+00 -9.641542575950901028e-02
3.153153153153152921e+00 -1.262636017936449306e-01
3.183183183183182940e+00 -1.559977536557081157e-01
3.213213213213213404e+00 -1.855910458068188440e-01
3.243243243243243423e+00 -2.150166685552979962e-01
3.273273273273273443e+00 -2.442478380566689422e-01
3.303303303303303462e+00 -2.732577963136559873e-01
3.333333333333333481e+00 -3.020198111761855930e-01
3.363363363363363501e+00 -3.305071763413853780e-01
3.393393393393393520e+00 -3.586932113535843403e-01
3.423423423423423539e+00 -3.865512616043137450e-01
3.453453453453453559e+00 -4.140546983323054597e-01
3.483483483483483578e+00 -4.411769186234935081e-01
3.513513513513513598e+00 -4.678913454110131820e-01
3.543543543543543617e+00 -4.941785116092321517e-01
3.573573573573573636e+00 -5.200204500444300937e-01
3.603603603603603656e+00 -5.453877962001342228e-01
3.633633633633633675e+00 -5.702519220979905823e-01
3.663663663663663694e+00 -5.945850513164159246e-01
3.693693693693693714e+00 -6.183602589905978775e-01
3.723723723723723733e+00 -6.415514718124950555e-01
3.753753753753753752e+00 -6.641334680308365046e-01
3.783783783783783772e+00 -6.860818774511225904e-01
3.813813813813813791e+00 -7.073731814356243319e-01
3.843843843843843811e+00 -7.279847129033834019e-01
3.873873873873873830e+00 -7.478946563302125705e-01
3.903903903903903849e+00 -7.670820477486952615e-01
3.933933933933933869e+00 -7.855267747481857743e-01
3.963963963963963888e+00 -8.032095764748093947e-01
3.993993993993993907e+00 -8.201120436314620621e-01
4.024024024024024371e+00 -8.362166184778109246e-01
4.054054054054054390e+00 -8.515065948302932286e-01
4.084084084084084409e+00 -8.659661180621175403e-01
4.114114114114114429e+00 -8.795801851032634122e-01
4.144144144144144448e+00 -8.923346444404808286e-01
4.174174174174174468e+00 -9.042161961172910933e-01
4.204204204204204487e+00 -9.152123917339858306e-01
4.234234234234234506e+00 -9.253116344476279842e-01
4.264264264264264526e+00 -9.345031789720508186e-01
4.294294294294294545e+00 -9.427771315778590289e-01
4.324324324324324564e+00 -9.501244500924275194e-01
4.354354354354354584e+00 -9.565369438999026253e-01
4.384384384384384603e+00 -9.620072739412011131e-01
4.414414414414414622e+00 -9.665289527140106252e-01
4.444444444444444642e+00 -9.700972790016197944e-01
4.474474474474474661e+00 -9.727119762327829378e-01
4.504504504504504681e+00 -9.743693273439504310e-01
4.534534534534534700e+00 -9.750660534451877082e-01
4.564564564564564719e+00 -9.748000055531133023e-01
4.594594594594594739e+00 -9.735701645908987345e-01
4.624624624624624758e+00 -9.713766413882689577e-01
4.654654654654654777e+00 -9.682206766815016907e-01
4.684684684684684797e+00 -9.641046411134280847e-01
4.714714714714714816e+00 -9.590320352334323895e-01
4.744744744744744835e+00 -9.530074894974518429e-01
4.774774774774774855e+00 -9.460367642679770039e-01
4.804804804804804874e+00 -9.381267498140514194e-01
4.834834834834834894e+00 -9.292854663112719571e-01
